========================================================================
  FEATURE IMPORTANCES  (Gini impurity decrease, normalised to sum=1)
========================================================================
Rank  Feature                                         RF     GBM     Avg
------------------------------------------------------------------------
1     MPNet+Numberbatch_sim_min_in                0.1024  0.4512  0.2768
2     MultiSense_sim_min_in                       0.0559  0.1001  0.0780
3     MPNet+Numberbatch_sim_group_ambiguity       0.0491  0.0628  0.0559
4     MPNet+Numberbatch_sim_separation            0.0340  0.0414  0.0377
5     MultiSense_sim_group_ambiguity              0.0409  0.0267  0.0338
6     MultiSense_sim_second_max_out               0.0267  0.0366  0.0316
7     MPNet+Numberbatch_sim_second_max_out        0.0236  0.0260  0.0248
8     WordNet_sim_mean_in                         0.0234  0.0241  0.0238
9     MultiSense_sim_separation                   0.0278  0.0178  0.0228
10    MultiSense_sim_mean_in                      0.0336  0.0115  0.0225
11    MPNet+Numberbatch_sim_mean_in               0.0381  0.0022  0.0201
12    MultiSense_sim_avg_top3_out                 0.0201  0.0151  0.0176
13    WordNet_sim_avg_top3_out                    0.0140  0.0186  0.0163
14    MPNet_sim_group_ambiguity                   0.0212  0.0016  0.0114
15    MPNet+Numberbatch_sim_var_in                0.0142  0.0085  0.0114
16    WordNet_sim_second_max_out                  0.0121  0.0100  0.0110
17    MPNet_sim_min_in                            0.0161  0.0045  0.0103
18    TemplateCtx_sim_group_ambiguity             0.0195  0.0010  0.0102
19    TemplateCtx_sim_min_in                      0.0173  0.0003  0.0088
20    WordNet_sim_min_in                          0.0130  0.0036  0.0083
21    GloVe_sim_mean_in                           0.0130  0.0035  0.0082
22    WordNet_sim_separation                      0.0124  0.0033  0.0078
23    TemplateCtx_sim_mean_in                     0.0150  0.0004  0.0077
24    MPNet_sim_mean_in                           0.0139  0.0015  0.0077
25    MultiSense_sim_var_in                       0.0103  0.0050  0.0076
26    WordNet_sim_group_ambiguity                 0.0100  0.0051  0.0075
27    MPNet_sim_separation                        0.0146  0.0004  0.0075
28    GloVe_sim_second_max_out                    0.0062  0.0085  0.0074
29    GloVe_sim_group_ambiguity                   0.0097  0.0031  0.0064
30    TemplateCtx_sim_separation                  0.0121  0.0003  0.0062
31    MPNet+Numberbatch_sim_avg_top3_out          0.0106  0.0017  0.0061
32    GloVe_sim_min_in                            0.0076  0.0044  0.0060
33    GloVe_sim_avg_top3_out                      0.0083  0.0025  0.0054
34    GloVe_sim_separation                        0.0099  0.0001  0.0050
35    WordNet_sim_max_out                         0.0089  0.0009  0.0049
36    MultiSense_sim_max_out                      0.0080  0.0018  0.0049
37    MPNet_sim_second_max_out                    0.0062  0.0023  0.0043
38    MPNet+Numberbatch_sim_max_out               0.0048  0.0037  0.0042
39    TemplateCtx_sim_second_max_out              0.0057  0.0026  0.0041
40    Phonetic_sim_min_in                         0.0038  0.0042  0.0040
41    PairContext_sim_mean_in                     0.0038  0.0042  0.0040
42    GloVe_sim_var_in                            0.0057  0.0022  0.0039
43    GloVe_sim_max_out                           0.0063  0.0013  0.0038
44    Lexical_sim_group_ambiguity                 0.0034  0.0038  0.0036
45    GridDatamuseUniqueness_sim_mean_in          0.0038  0.0034  0.0036
46    TemplateCtx_sim_var_in                      0.0065  0.0006  0.0036
