========================================================================
  FEATURE IMPORTANCES  (Gini impurity decrease, normalised to sum=1)
========================================================================
Rank  Feature                                         RF     GBM     Avg
47    GridDatamuseUniqueness_sim_group_ambiguity  0.0044  0.0025  0.0034
48    MPNet_sim_var_in                            0.0058  0.0010  0.0034
49    Datamuse_sim_min_in                         0.0035  0.0031  0.0033
50    PairContext_sim_min_in                      0.0039  0.0026  0.0033
51    GridDatamuseUniqueness_sim_separation       0.0038  0.0026  0.0032
52    TemplateCtx_sim_max_out                     0.0042  0.0021  0.0031
53    GridDatamuseUniqueness_sim_var_in           0.0032  0.0030  0.0031
54    Lexical_sim_var_in                          0.0032  0.0029  0.0030
55    Phonetic_sim_group_ambiguity                0.0037  0.0024  0.0030
56    Datamuse_sim_group_ambiguity                0.0041  0.0018  0.0029
57    Datamuse_sim_max_out                        0.0035  0.0024  0.0029
58    WordNet_sim_var_in                          0.0044  0.0014  0.0029
59    Lexical_sim_second_max_out                  0.0037  0.0018  0.0027
60    Phonetic_sim_mean_in                        0.0036  0.0018  0.0027
61    PairContext_sim_separation                  0.0037  0.0016  0.0026
62    TemplateCtx_sim_avg_top3_out                0.0040  0.0012  0.0026
63    GridDatamuseUniqueness_sim_min_in           0.0034  0.0017  0.0025
64    MPNet_sim_avg_top3_out                      0.0043  0.0006  0.0025
65    Lexical_sim_max_out                         0.0031  0.0016  0.0023
66    PairContext_sim_group_ambiguity             0.0029  0.0017  0.0023
67    Phonetic_sim_var_in                         0.0031  0.0014  0.0022
68    Phonetic_sim_separation                     0.0034  0.0011  0.0022
69    Phonetic_sim_max_out                        0.0032  0.0012  0.0022
70    Lexical_sim_min_in                          0.0031  0.0012  0.0022
71    Lexical_sim_mean_in                         0.0035  0.0007  0.0021
72    Datamuse_sim_var_in                         0.0028  0.0013  0.0021
73    PairContext_sim_var_in                      0.0031  0.0010  0.0021
74    PairContext_sim_avg_top3_out                0.0030  0.0011  0.0020
75    GridDatamuseUniqueness_sim_avg_top3_out     0.0034  0.0006  0.0020
76    PairContext_sim_second_max_out              0.0029  0.0010  0.0020
77    Datamuse_sim_separation                     0.0033  0.0006  0.0020
78    Datamuse_sim_mean_in                        0.0030  0.0008  0.0019
79    Phonetic_sim_second_max_out                 0.0028  0.0010  0.0019
80    GridDatamuseUniqueness_sim_second_max_out   0.0028  0.0011  0.0019
81    GridDatamuseUniqueness_sim_max_out          0.0030  0.0006  0.0018
82    Lexical_sim_separation                      0.0032  0.0004  0.0018
83    MPNet_sim_max_out                           0.0033  0.0002  0.0018
84    Phonetic_sim_avg_top3_out                   0.0028  0.0007  0.0018
85    Lexical_sim_avg_top3_out                    0.0030  0.0005  0.0017
86    Datamuse_sim_avg_top3_out                   0.0031  0.0004  0.0017
87    PairContext_sim_max_out                     0.0028  0.0004  0.0016
88    Datamuse_sim_second_max_out                 0.0028  0.0003  0.0016
89    Morphological_sim_mean_in                   0.0017  0.0002  0.0010
90    Morphological_sim_avg_top3_out              0.0011  0.0006  0.0008
91    WikiData_sim_group_ambiguity                0.0009  0.0008  0.0008
92    Morphological_sim_group_ambiguity           0.0015  0.0000  0.0008
93    Morphological_sim_separation                0.0015  0.0000  0.0008
94    GridCategoryUniqueness_sim_group_ambiguity  0.0006  0.0009  0.0007
95    Morphological_sim_min_in                    0.0014  0.0000  0.0007
96    Morphological_sim_max_out                   0.0011  0.0002  0.0006
97    WikipediaCategories_sim_min_in              0.0007  0.0005  0.0006
98    WikiData_sim_mean_in                        0.0009  0.0003  0.0006
99    GridPropertyUniqueness_sim_var_in           0.0004  0.0007  0.0006
100   GridPropertyUniqueness_sim_min_in           0.0006  0.0005  0.0006
101   GridPropertyUniqueness_sim_group_ambiguity  0.0007  0.0004  0.0005
102   WikipediaCategories_sim_group_ambiguity     0.0007  0.0004  0.0005
103   WikipediaCategories_sim_mean_in             0.0007  0.0003  0.0005
104   Morphological_sim_second_max_out            0.0010  0.0000  0.0005
105   Morphological_sim_var_in                    0.0009  0.0001  0.0005
106   WikiData_sim_avg_top3_out                   0.0005  0.0004  0.0005
107   TemplateCtx_sim_triangle_score              0.0008  0.0001  0.0004
108   WordNet_sim_triangle_score                  0.0005  0.0003  0.0004
109   WikipediaCategories_sim_separation          0.0007  0.0001  0.0004
110   WikiData_sim_separation                     0.0006  0.0002  0.0004
111   MultiSense_sim_triangle_score               0.0007  0.0001  0.0004
112   WikiData_sim_min_in                         0.0007  0.0000  0.0004
113   PairContext_sim_triangle_score              0.0005  0.0002  0.0004
114   WikiData_sim_second_max_out                 0.0005  0.0002  0.0004
115   WikipediaCategories_sim_var_in              0.0003  0.0004  0.0003
116   WikiData_sim_var_in                         0.0004  0.0002  0.0003
117   GridCategoryUniqueness_sim_separation       0.0006  0.0000  0.0003
118   GridPropertyUniqueness_sim_separation       0.0006  0.0000  0.0003
119   GridCategoryUniqueness_sim_min_in           0.0006  0.0000  0.0003
120   MPNet_sim_triangle_score                    0.0006  0.0000  0.0003
121   GloVe_sim_triangle_score                    0.0006  0.0000  0.0003
122   Phonetic_sim_triangle_score                 0.0005  0.0000  0.0003
123   WikipediaCategories_sim_avg_top3_out        0.0004  0.0001  0.0003
124   GridCategoryUniqueness_sim_mean_in          0.0005  0.0000  0.0003
125   GridDatamuseUniqueness_sim_triangle_score   0.0004  0.0001  0.0002
126   GridPropertyUniqueness_sim_mean_in          0.0005  0.0000  0.0002
127   WikiData_sim_max_out                        0.0005  0.0000  0.0002
128   GridPropertyUniqueness_sim_max_out          0.0005  0.0000  0.0002
129   Lexical_sim_triangle_score                  0.0004  0.0000  0.0002
130   GridCategoryUniqueness_sim_avg_top3_out     0.0004  0.0000  0.0002
131   GridPropertyUniqueness_sim_avg_top3_out     0.0004  0.0000  0.0002
132   MPNet+Numberbatch_sim_triangle_score        0.0004  0.0000  0.0002
133   WikipediaCategories_sim_second_max_out      0.0004  0.0000  0.0002
134   WikipediaCategories_sim_max_out             0.0004  0.0000  0.0002
135   GridPropertyUniqueness_sim_second_max_out   0.0003  0.0001  0.0002
136   Datamuse_sim_triangle_score                 0.0004  0.0000  0.0002
137   GridCategoryUniqueness_sim_var_in           0.0004  0.0000  0.0002
138   GridCategoryUniqueness_sim_max_out          0.0003  0.0001  0.0002
139   GridCategoryUniqueness_sim_second_max_out   0.0003  0.0000  0.0002
140   GridPropertyUniqueness_sim_triangle_score   0.0001  0.0000  0.0000
141   GridCategoryUniqueness_sim_triangle_score   0.0000  0.0000  0.0000
142   WikiData_sim_triangle_score                 0.0000  0.0000  0.0000
143   Morphological_sim_triangle_score            0.0000  0.0000  0.0000
144   WikipediaCategories_sim_triangle_score      0.0000  0.0000  0.0000
145   ConceptNet_sim_separation                   0.0000  0.0000  0.0000
146   ConceptNet_sim_max_out                      0.0000  0.0000  0.0000
147   ConceptNet_sim_var_in                       0.0000  0.0000  0.0000
148   ConceptNet_sim_second_max_out               0.0000  0.0000  0.0000
149   ConceptNet_sim_avg_top3_out                 0.0000  0.0000  0.0000
150   ConceptNet_sim_min_in                       0.0000  0.0000  0.0000
151   ConceptNet_sim_mean_in                      0.0000  0.0000  0.0000
152   ConceptNet_sim_triangle_score               0.0000  0.0000  0.0000
153   ConceptNet_sim_group_ambiguity              0.0000  0.0000  0.0000
========================================================================
RF  importances sum  : 1.000000
GBM importances sum  : 1.000000
