Feature	Importance (Gain)
GridDatamuseUniqueness_sim_triangle_score	1.7307835184037685
GridPropertyUniqueness_sim_avg_top3_out	1.683558376505971
GridCategoryUniqueness_sim_avg_top3_out	1.668052390217781
GridPropertyUniqueness_sim_var_in	1.4636799991130829
WikipediaCategories_sim_triangle_score	0.692110002040863
GridCategoryUniqueness_sim_triangle_score	0.27714499831199646
GridPropertyUniqueness_sim_triangle_score	0.0
ConceptNet_sim_var_in	0.0
Morphological_sim_triangle_score	0.0
Datamuse_sim_triangle_score	0.0
ConceptNet_sim_mean_in	0.0
ConceptNet_sim_min_in	0.0
ConceptNet_sim_second_max_out	0.0
ConceptNet_sim_max_out	0.0
ConceptNet_sim_separation	0.0
ConceptNet_sim_avg_top3_out	0.0
ConceptNet_sim_group_ambiguity	0.0
ConceptNet_sim_triangle_score	0.0
WikiData_sim_triangle_score	0.0
