========================================================================
  FEATURE IMPORTANCES  (Gini impurity decrease, normalised to sum=1)
========================================================================
Rank  Feature                                         RF     GBM     Avg
95    GridCategoryUniqueness_sim_separation       0.0012  0.0007  0.0010
96    Morphological_sim_group_ambiguity           0.0014  0.0004  0.0009
97    WikiData_sim_min_in                         0.0011  0.0007  0.0009
98    Morphological_sim_var_in                    0.0008  0.0010  0.0009
99    GridCategoryUniqueness_sim_mean_in          0.0012  0.0005  0.0008
100   Morphological_sim_second_max_out            0.0013  0.0004  0.0008
101   WikipediaCategories_sim_mean_in             0.0015  0.0001  0.0008
102   Morphological_sim_min_in                    0.0014  0.0002  0.0008
103   WordNet_sim_triangle_score                  0.0005  0.0011  0.0008
104   WikipediaCategories_sim_separation          0.0015  0.0000  0.0008
105   Morphological_sim_max_out                   0.0012  0.0003  0.0007
106   GridCategoryUniqueness_sim_min_in           0.0011  0.0003  0.0007
107   GridPropertyUniqueness_sim_separation       0.0008  0.0005  0.0007
108   WikipediaCategories_sim_second_max_out      0.0013  0.0000  0.0007
109   WikiData_sim_mean_in                        0.0012  0.0001  0.0006
110   GridPropertyUniqueness_sim_min_in           0.0008  0.0005  0.0006
111   WikipediaCategories_sim_max_out             0.0011  0.0002  0.0006
112   Morphological_sim_avg_top3_out              0.0010  0.0002  0.0006
113   WikiData_sim_separation                     0.0009  0.0002  0.0006
114   WikipediaCategories_sim_avg_top3_out        0.0011  0.0000  0.0005
115   WikiData_sim_var_in                         0.0007  0.0004  0.0005
116   GridPropertyUniqueness_sim_group_ambiguity  0.0010  0.0000  0.0005
117   GridPropertyUniqueness_sim_second_max_out   0.0005  0.0005  0.0005
118   GridCategoryUniqueness_sim_var_in           0.0008  0.0002  0.0005
119   WikiData_sim_avg_top3_out                   0.0006  0.0003  0.0004
120   TemplateCtx_sim_triangle_score              0.0006  0.0003  0.0004
121   GridPropertyUniqueness_sim_mean_in          0.0008  0.0000  0.0004
122   MPNet+Numberbatch_sim_triangle_score        0.0005  0.0003  0.0004
123   GridCategoryUniqueness_sim_avg_top3_out     0.0007  0.0001  0.0004
124   WikiData_sim_second_max_out                 0.0007  0.0001  0.0004
125   WikipediaCategories_sim_var_in              0.0008  0.0000  0.0004
126   PairContext_sim_triangle_score              0.0007  0.0000  0.0004
127   WikiData_sim_max_out                        0.0007  0.0000  0.0004
128   GridCategoryUniqueness_sim_max_out          0.0007  0.0000  0.0003
129   GridCategoryUniqueness_sim_second_max_out   0.0007  0.0000  0.0003
130   GridPropertyUniqueness_sim_avg_top3_out     0.0006  0.0000  0.0003
131   MultiSense_sim_triangle_score               0.0006  0.0000  0.0003
132   GridPropertyUniqueness_sim_max_out          0.0006  0.0000  0.0003
133   GloVe_sim_triangle_score                    0.0005  0.0000  0.0003
134   Phonetic_sim_triangle_score                 0.0005  0.0000  0.0003
135   GridCategoryUniqueness_sim_triangle_score   0.0000  0.0004  0.0002
136   GridPropertyUniqueness_sim_var_in           0.0004  0.0000  0.0002
137   Lexical_sim_triangle_score                  0.0004  0.0000  0.0002
138   MPNet_sim_triangle_score                    0.0004  0.0000  0.0002
139   GridDatamuseUniqueness_sim_triangle_score   0.0003  0.0000  0.0002
140   Datamuse_sim_triangle_score                 0.0003  0.0000  0.0002
141   WikipediaCategories_sim_triangle_score      0.0001  0.0000  0.0000
142   GridPropertyUniqueness_sim_triangle_score   0.0001  0.0000  0.0000
143   WikiData_sim_triangle_score                 0.0001  0.0000  0.0000
144   Morphological_sim_triangle_score            0.0000  0.0000  0.0000
145   ConceptNet_sim_triangle_score               0.0000  0.0000  0.0000
146   ConceptNet_sim_group_ambiguity              0.0000  0.0000  0.0000
147   ConceptNet_sim_avg_top3_out                 0.0000  0.0000  0.0000
148   ConceptNet_sim_separation                   0.0000  0.0000  0.0000
149   ConceptNet_sim_max_out                      0.0000  0.0000  0.0000
150   ConceptNet_sim_var_in                       0.0000  0.0000  0.0000
151   ConceptNet_sim_min_in                       0.0000  0.0000  0.0000
152   ConceptNet_sim_mean_in                      0.0000  0.0000  0.0000
153   ConceptNet_sim_second_max_out               0.0000  0.0000  0.0000
========================================================================
RF  importances sum  : 1.000000
GBM importances sum  : 1.000000
