========================================================================
  FEATURE IMPORTANCES  (Gini impurity decrease, normalised to sum=1)
========================================================================
Rank  Feature                                         RF     GBM     Avg
------------------------------------------------------------------------
1     MPNet_sim_group_ambiguity                   0.0578  0.1399  0.0989
2     MPNet+Numberbatch_sim_group_ambiguity       0.0528  0.1121  0.0824
3     WordNet_sim_mean_in                         0.0481  0.0809  0.0645
4     WordNet_sim_avg_top3_out                    0.0344  0.0698  0.0521
5     WordNet_sim_min_in                          0.0409  0.0625  0.0517
6     MPNet+Numberbatch_sim_min_in                0.0396  0.0628  0.0512
7     GloVe_sim_min_in                            0.0292  0.0562  0.0427
8     MPNet_sim_min_in                            0.0453  0.0350  0.0402
9     GloVe_sim_separation                        0.0245  0.0469  0.0357
10    WordNet_sim_group_ambiguity                 0.0333  0.0308  0.0320
11    WordNet_sim_second_max_out                  0.0271  0.0233  0.0252
12    GloVe_sim_second_max_out                    0.0189  0.0308  0.0249
13    MPNet_sim_separation                        0.0403  0.0086  0.0244
14    GloVe_sim_group_ambiguity                   0.0223  0.0262  0.0243
15    WordNet_sim_separation                      0.0385  0.0065  0.0225
16    GloVe_sim_mean_in                           0.0357  0.0092  0.0225
17    MPNet_sim_second_max_out                    0.0207  0.0222  0.0214
18    MPNet+Numberbatch_sim_separation            0.0353  0.0053  0.0203
19    GloVe_sim_avg_top3_out                      0.0197  0.0195  0.0196
20    MPNet+Numberbatch_sim_mean_in               0.0341  0.0012  0.0176
21    MPNet+Numberbatch_sim_second_max_out        0.0195  0.0157  0.0176
22    MPNet_sim_mean_in                           0.0311  0.0033  0.0172
23    MPNet+Numberbatch_sim_var_in                0.0133  0.0104  0.0119
24    GloVe_sim_var_in                            0.0115  0.0119  0.0117
25    MPNet_sim_var_in                            0.0151  0.0064  0.0107
26    WordNet_sim_max_out                         0.0163  0.0032  0.0098
27    WordNet_sim_var_in                          0.0111  0.0072  0.0091
28    GloVe_sim_max_out                           0.0118  0.0050  0.0084
29    MPNet_sim_avg_top3_out                      0.0115  0.0027  0.0071
30    Phonetic_sim_var_in                         0.0072  0.0065  0.0069
31    MPNet+Numberbatch_sim_avg_top3_out          0.0113  0.0017  0.0065
32    Phonetic_sim_min_in                         0.0069  0.0060  0.0065
33    Lexical_sim_second_max_out                  0.0072  0.0054  0.0063
34    Lexical_sim_group_ambiguity                 0.0068  0.0056  0.0062
35    Lexical_sim_min_in                          0.0067  0.0054  0.0061
36    Phonetic_sim_max_out                        0.0071  0.0047  0.0059
37    Phonetic_sim_group_ambiguity                0.0068  0.0044  0.0056
38    Phonetic_sim_avg_top3_out                   0.0067  0.0044  0.0056
39    MPNet+Numberbatch_sim_max_out               0.0074  0.0033  0.0054
40    Lexical_sim_var_in                          0.0061  0.0041  0.0051
41    Phonetic_sim_second_max_out                 0.0069  0.0034  0.0051
42    Phonetic_sim_separation                     0.0067  0.0035  0.0051
43    Lexical_sim_max_out                         0.0063  0.0034  0.0048
44    MPNet_sim_max_out                           0.0072  0.0023  0.0048
45    Lexical_sim_separation                      0.0063  0.0025  0.0044
46    Phonetic_sim_mean_in                        0.0068  0.0019  0.0044
47    Lexical_sim_avg_top3_out                    0.0062  0.0025  0.0043
48    Lexical_sim_mean_in                         0.0063  0.0022  0.0043
49    Morphological_sim_group_ambiguity           0.0029  0.0016  0.0022
50    Morphological_sim_mean_in                   0.0028  0.0014  0.0021
51    Morphological_sim_min_in                    0.0031  0.0009  0.0020
52    Morphological_sim_max_out                   0.0026  0.0008  0.0017
53    Morphological_sim_separation                0.0030  0.0002  0.0016
54    Morphological_sim_second_max_out            0.0024  0.0009  0.0016
55    WordNet_sim_triangle_score                  0.0012  0.0017  0.0015
56    Morphological_sim_avg_top3_out              0.0025  0.0004  0.0014
57    Lexical_sim_triangle_score                  0.0010  0.0016  0.0013
58    Phonetic_sim_triangle_score                 0.0010  0.0011  0.0010
59    MPNet+Numberbatch_sim_triangle_score        0.0011  0.0003  0.0007
60    Morphological_sim_var_in                    0.0012  0.0001  0.0007
61    GloVe_sim_triangle_score                    0.0012  0.0002  0.0007
62    MPNet_sim_triangle_score                    0.0012  0.0000  0.0006
63    Morphological_sim_triangle_score            0.0001  0.0000  0.0000
========================================================================
RF  importances sum  : 1.000000
GBM importances sum  : 1.000000
