========================================================================
  FEATURE IMPORTANCES  (Gini impurity decrease, normalised to sum=1)
========================================================================
Rank  Feature                                         RF     GBM     Avg
96    WikiData_sim_min_in                         0.0006  0.0004  0.0005
97    Morphological_sim_var_in                    0.0008  0.0002  0.0005
98    MultiSense_sim_triangle_score               0.0006  0.0003  0.0005
99    GridPropertyUniqueness_sim_group_ambiguity  0.0004  0.0005  0.0005
100   TemplateCtx_sim_triangle_score              0.0006  0.0002  0.0004
101   MPNet_sim_triangle_score                    0.0006  0.0002  0.0004
102   GloVe_sim_triangle_score                    0.0007  0.0002  0.0004
103   WikiData_sim_max_out                        0.0004  0.0004  0.0004
104   MPNet+Numberbatch_sim_triangle_score        0.0006  0.0001  0.0004
105   WikiData_sim_separation                     0.0006  0.0002  0.0004
106   Phonetic_sim_triangle_score                 0.0005  0.0002  0.0004
107   Lexical_sim_triangle_score                  0.0004  0.0003  0.0003
108   WikiData_sim_group_ambiguity                0.0006  0.0000  0.0003
109   PairContext_sim_triangle_score              0.0004  0.0001  0.0003
110   WikiData_sim_mean_in                        0.0005  0.0000  0.0003
111   WordNet_sim_triangle_score                  0.0005  0.0000  0.0003
112   WikiData_sim_avg_top3_out                   0.0004  0.0001  0.0003
113   GridPropertyUniqueness_sim_separation       0.0004  0.0001  0.0002
114   GridCategoryUniqueness_sim_separation       0.0002  0.0002  0.0002
115   WikipediaCategories_sim_group_ambiguity     0.0002  0.0002  0.0002
116   Datamuse_sim_triangle_score                 0.0004  0.0000  0.0002
117   GridPropertyUniqueness_sim_mean_in          0.0003  0.0000  0.0002
118   GridPropertyUniqueness_sim_min_in           0.0003  0.0000  0.0002
119   WikiData_sim_second_max_out                 0.0003  0.0000  0.0002
120   GridPropertyUniqueness_sim_var_in           0.0002  0.0001  0.0002
121   GridDatamuseUniqueness_sim_triangle_score   0.0003  0.0000  0.0001
122   WikipediaCategories_sim_avg_top3_out        0.0001  0.0001  0.0001
123   GridPropertyUniqueness_sim_max_out          0.0002  0.0000  0.0001
124   WikiData_sim_var_in                         0.0002  0.0000  0.0001
125   GridPropertyUniqueness_sim_avg_top3_out     0.0002  0.0000  0.0001
126   GridPropertyUniqueness_sim_second_max_out   0.0002  0.0000  0.0001
127   GridCategoryUniqueness_sim_mean_in          0.0002  0.0000  0.0001
128   WikipediaCategories_sim_mean_in             0.0002  0.0000  0.0001
129   WikipediaCategories_sim_min_in              0.0002  0.0000  0.0001
130   WikipediaCategories_sim_var_in              0.0001  0.0000  0.0001
131   WikipediaCategories_sim_separation          0.0001  0.0000  0.0001
132   WikipediaCategories_sim_max_out             0.0001  0.0000  0.0001
133   GridCategoryUniqueness_sim_avg_top3_out     0.0001  0.0000  0.0001
134   GridCategoryUniqueness_sim_min_in           0.0001  0.0000  0.0001
135   WikiData_sim_triangle_score                 0.0000  0.0001  0.0001
136   WikipediaCategories_sim_second_max_out      0.0001  0.0000  0.0001
137   GridCategoryUniqueness_sim_group_ambiguity  0.0001  0.0000  0.0000
138   GridCategoryUniqueness_sim_var_in           0.0001  0.0000  0.0000
139   GridCategoryUniqueness_sim_max_out          0.0001  0.0000  0.0000
140   GridCategoryUniqueness_sim_second_max_out   0.0001  0.0000  0.0000
141   Morphological_sim_triangle_score            0.0000  0.0000  0.0000
142   GridPropertyUniqueness_sim_triangle_score   0.0000  0.0000  0.0000
143   GridCategoryUniqueness_sim_triangle_score   0.0000  0.0000  0.0000
144   ConceptNet_sim_separation                   0.0000  0.0000  0.0000
145   ConceptNet_sim_second_max_out               0.0000  0.0000  0.0000
146   ConceptNet_sim_min_in                       0.0000  0.0000  0.0000
147   ConceptNet_sim_mean_in                      0.0000  0.0000  0.0000
148   ConceptNet_sim_avg_top3_out                 0.0000  0.0000  0.0000
149   ConceptNet_sim_group_ambiguity              0.0000  0.0000  0.0000
150   ConceptNet_sim_max_out                      0.0000  0.0000  0.0000
151   ConceptNet_sim_var_in                       0.0000  0.0000  0.0000
152   ConceptNet_sim_triangle_score               0.0000  0.0000  0.0000
153   WikipediaCategories_sim_triangle_score      0.0000  0.0000  0.0000
========================================================================
RF  importances sum  : 1.000000
GBM importances sum  : 1.000000
